parent_article,cycle_archetype,line_no,component,item_type,sfg_code,bom_qty,fg_qty,godown,consumed_at_stage
Carnival Magic Moments 4P 600gm,D: Pack-only,3,Roasted & Salted Almonds Bulk,sfg,SFG0261,0.15,1,Factory,Final FG (opening RM)
Carnival Magic Moments 4P 600gm,D: Pack-only,4,California Pista Inshell,rm,,0.125,1,Factory,Final FG (Sorting+Packing)
Carnival Magic Moments 4P 600gm,D: Pack-only,5,PM24-5Ply Diwali Magic Movement HOH (4P),pm,,1,1,PM Store,Final FG (packing)
Carnival Mangalmay Utsav DF Box 6P 600g,D: Pack-only,1,Carnival Festive Cashew (320) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Mangalmay Utsav DF Box 6P 600g,D: Pack-only,2,Carnival Festive Indian Raisin 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Mangalmay Utsav DF Box 6P 600g,D: Pack-only,3,Carnival Festive Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Mangalmay Utsav DF Box 6P 600g,D: Pack-only,4,Carnival Festive California Pista (21-26) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Mangalmay Utsav DF Box 6P 600g,D: Pack-only,5,Carnival Festive Chatpata Cranberry 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Carnival Mangalmay Utsav DF Box 6P 600g,D: Pack-only,6,Premia Nuts & Seeds Mix 100g (100005422),fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,1,Carnival Festive Cashew (320) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,2,Carnival Festive Indian Raisin 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,3,Carnival Festive Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,4,Carnival Festive California Pista (21-26) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,5,Carnival Festive Chatpata Cranberry 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,6,Carnival Festive Salted Almonds (27-28 count) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,7,PM24-Hamper Gift Box Mayur Ratna Big 520g,pm,,1,1,PM Store,Final FG (packing)
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,8,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.125,1,PM Store,Final FG (packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,1,Carnival Festive Cashew (320) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,2,Carnival Festive Indian Raisin 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,3,Carnival Festive Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,4,Carnival Festive California Pista (21-26) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,5,Carnival Festive Chatpata Cranberry 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,6,Carnival Festive Salted Almonds (27-28 count) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,7,PM24-Hamper Gift Box Mayur Ratna Big 520g,pm,,1,1,PM Store,Final FG (packing)
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,8,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.125,1,PM Store,Final FG (packing)
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,1,Carnival Festive Cashew (320) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,2,Carnival Festive Indian Raisin 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,3,Carnival Festive Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,4,Carnival Festive California Pista (21-26) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,5,PM24-Hamper Gift Box Mayur Ratna Small 360g,pm,,1,1,PM Store,Final FG (packing)
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,6,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.083,1,PM Store,Final FG (packing)
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,1,Carnival Festive Cashew (320) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,2,Carnival Festive Indian Raisin 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,3,Carnival Festive Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,4,Carnival Festive California Pista (21-26) 80gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,5,PM24-Hamper Gift Box Mayur Ratna Small 360g,pm,,1,1,PM Store,Final FG (packing)
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,6,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.083,1,PM Store,Final FG (packing)
Carnival Mocha Mojo Trail Mix 100g,B: Transform->Pack (in-line),1,Orange Peel,rm,,0.01,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 100g,B: Transform->Pack (in-line),2,Dried Cranberry Sliced,rm,,0.02,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 100g,B: Transform->Pack (in-line),3,Dark Compound Chips,rm,,0.02,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 100g,B: Transform->Pack (in-line),4,Diced Almond,rm,,0.025,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 100g,B: Transform->Pack (in-line),5,Pecan Nuts Kernel Split,rm,,0.015,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 100g,B: Transform->Pack (in-line),6,Hazelnut Kernal,rm,,0.01,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 200g,B: Transform->Pack (in-line),1,Orange Peel,rm,,0.02,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 200g,B: Transform->Pack (in-line),2,Dried Cranberry Sliced,rm,,0.04,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 200g,B: Transform->Pack (in-line),3,Dark Compound Chips,rm,,0.04,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 200g,B: Transform->Pack (in-line),4,Diced Almond,rm,,0.05,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 200g,B: Transform->Pack (in-line),5,Pecan Nuts Kernel Split,rm,,0.03,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 200g,B: Transform->Pack (in-line),6,Hazelnut Kernal,rm,,0.02,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),1,Orange Slice / Pieces,rm,,0.025,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),2,Dried Cranberry Sliced,rm,,0.05,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),3,Dark Compound Chips,rm,,0.05,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),4,Diced Almond,rm,,0.0625,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),5,Pecan Nuts,rm,,0.0375,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),6,Hazelnut Kernal,rm,,0.025,1,Factory,Create WIP
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),7,PM24-Carnival Mocha Mojo Trail Mix Pre Printed Pouch 200G ( 150mm x 225mm ) 200 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Mocha Mojo Trail Mix 250g,B: Transform->Pack (in-line),8,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.0152,1,Factory,Create WIP
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),2,Pista Kernel,rm,,0.0052,1,Factory,Create WIP
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),3,Sunflower Seeds Roasted,fg,,0.025,1,Factory,Create WIP
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),4,Pumpkin Seeds Roasted,fg,,0.025,1,Factory,Create WIP
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),5,Dried Cranberry Sliced,rm,,0.0127,1,Factory,Create WIP
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),6,Dried Blueberry,rm,,0.0025,1,Factory,Create WIP
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),7,Afghan Black Raisins Seedless 1*2,rm,,0.015,1,Factory,Create WIP
Carnival Nuts & Seed Mix 100gm,B: Transform->Pack (in-line),8,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Oman Dates 250g,D: Pack-only,1,Khaneizi Dates,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Oman Dates 250g,D: Pack-only,2,PM24-Carnival Omani Dates (Cred) 200 gm Monocarton,pm,,1,1,PM Store,Final FG (packing)
Carnival Pan Raisin 125g,B: Transform->Pack (in-line),1,Indian Green Raisins,rm,,0.13,1,Factory,Create WIP
Carnival Pan Raisin 125g,B: Transform->Pack (in-line),2,Paan Seasoning AB319,rm,,0.015,1,Factory,Create WIP
Carnival Pepper Cashew 100G,B: Transform->Pack (in-line),1,Cashew 320,rm,,0.0958,1,Factory,Create WIP
Carnival Pepper Cashew 100G,B: Transform->Pack (in-line),2,Salt & Pepper Seasoning,rm,,0.0067,1,Factory,Create WIP
Carnival Pepper Cashew 100G,B: Transform->Pack (in-line),3,PM24-Carnival Pepper Cashew Pouch 250 gm Digital,pm,,1,1,Factory,Final FG (packing)
Carnival Pepper Cashew 100G,B: Transform->Pack (in-line),4,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Carnival Pepper Cashew 125gm,B: Transform->Pack (in-line),1,Cashew 320,rm,,0.125,1,Factory,Create WIP
Carnival Pepper Cashew 125gm,B: Transform->Pack (in-line),2,Black Pepper Seasoning,rm,,0.002,1,Factory,Create WIP
Carnival Pepper Cashew 125gm,B: Transform->Pack (in-line),3,PM24-Carnival Orange Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Pepper Cashew 200G,B: Transform->Pack (in-line),1,Cashew 320,rm,,0.2,1,Factory,Create WIP
Carnival Pepper Cashew 200G,B: Transform->Pack (in-line),2,Black Pepper Seasoning,rm,,0.004,1,Factory,Create WIP
Carnival Pepper Pistachios 200G,B: Transform->Pack (in-line),1,Pista Irani Inshell,rm,,0.19,1,Factory,Create WIP
Carnival Pepper Pistachios 200G,B: Transform->Pack (in-line),2,Black Pepper Seasoning,rm,,0.02,1,Factory,Create WIP
Carnival Peri Peri Cashew 100 Gms,D: Pack-only,1,Cashew 320,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Peri Peri Cashew 150gm,C: Pack of existing SFG,1,Peri Peri Cashew Bulk,sfg,SFG0235,0.15,1,Factory,Final FG (opening RM)
Carnival Peri Peri Cashew 150gm,C: Pack of existing SFG,2,PM24-(21O Pet) Top With Black Cap 150 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Peri Peri Cashew 150gm,C: Pack of existing SFG,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.015,1,PM Store,Final FG (packing)
Carnival Peri Peri Cashew 200gm,C: Pack of existing SFG,1,Peri Peri Cashew Bulk,sfg,SFG0235,0.2,1,Factory,Final FG (opening RM)
Carnival Peri Peri Cashew 200gm,C: Pack of existing SFG,2,PM24-Carnival Peri Peri Cashew Pouch 250 gm Digital,pm,,1,1,Factory,Final FG (packing)
Carnival Peri Peri Cashew 200gm,C: Pack of existing SFG,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,PM Store,Final FG (packing)
Carnival Peri Peri Makhana 125g,B: Transform->Pack (in-line),1,Makhana,rm,,0.12,1,Factory,Create WIP
Carnival Peri Peri Makhana 125g,B: Transform->Pack (in-line),2,Peri Peri Marination Seasoning,rm,,0.01,1,Factory,Create WIP
Carnival Peri Peri Makhana 125g,B: Transform->Pack (in-line),3,"PM24-Labels,Stickers, Cards",pm,,1,1,Factory,Final FG (packing)
Carnival Peri Peri Makhana 125g,B: Transform->Pack (in-line),4,PM24 - Makhana Pet with Handle 125 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Peri Peri Makhana 125g,B: Transform->Pack (in-line),5,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.04,1,Factory,Final FG (packing)
Carnival Peri Peri Makhana 55g,B: Transform->Pack (in-line),1,Makhana,rm,,0.06,1,Factory,Create WIP
Carnival Peri Peri Makhana 55g,B: Transform->Pack (in-line),2,"PM24-Labels,Stickers, Cards",pm,,1,1,Factory,Final FG (packing)
Carnival Peri Peri Makhana 55g,B: Transform->Pack (in-line),3,PM24 - Makhana Pet 55 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Peri Peri Makhana 55g,B: Transform->Pack (in-line),4,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.04,1,Factory,Final FG (packing)
Carnival Peri Peri Walnut 150g,B: Transform->Pack (in-line),1,California Walnut Kernels 2pc,rm,,0.1376,1,Factory,Create WIP
Carnival Peri Peri Walnut 150g,B: Transform->Pack (in-line),2,Peri Peri Masala,rm,,0.011,1,Factory,Create WIP
Carnival Peri Peri Walnut 150g,B: Transform->Pack (in-line),3,URBAN PLATTER ARABIC GUM POWDER,rm,,0.0014,1,Factory,Create WIP
Carnival Peri Peri Walnut 150g,B: Transform->Pack (in-line),4,PM24-Pet Jar 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Pine Nut 100 Gms,D: Pack-only,1,Pine Nut Kernel,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Carnival Pine Nut 100 Gms,D: Pack-only,2,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Pine Nut 100 Gms,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.01,1,APMC,Final FG (packing)
Carnival Pitted Prunes 250g,D: Pack-only,1,Dried Prunes (Pitted),rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Pitted Prunes 250g,D: Pack-only,2,PM24-Carnival California Pitted Prunes 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Pitted Prunes 250g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Carnival Popcorn Makhana 125g,B: Transform->Pack (in-line),1,Makhana,rm,,0.12,1,Factory,Create WIP
Carnival Popcorn Makhana 55gm,B: Transform->Pack (in-line),1,Makhana,rm,,0.06,1,Factory,Create WIP
Carnival Popcorn Makhana 55gm,B: Transform->Pack (in-line),2,"PM24-Labels,Stickers, Cards",pm,,1,1,Factory,Final FG (packing)
Carnival Popcorn Makhana 55gm,B: Transform->Pack (in-line),3,PM24 - Makhana Pet 55 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Popcorn Makhana 55gm,B: Transform->Pack (in-line),4,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.04,1,Factory,Final FG (packing)
Carnival Powder 250g- V2,,1,AL BARAKAH DEHYDRATED DATE POWDER - BULK PACK 10KG,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Powder 250g- V2,,2,PM24-Carnival Pet Label (230x60mm) 230/250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Powder 250g- V2,,3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Powder 250g- V2 (Not Use),,1,AL BARAKAH DEHYDRATED DATE POWDER - BULK PACK 10KG,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Powder 250g- V2 (Not Use),,2,PM24-Carnival Pet Label (230x60mm) 230/250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Powder 250g- V2 (Not Use),,3,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
"Carnival Premium Brazil Nuts, 250 Gms",D: Pack-only,1,Brazil Nuts,rm,,0.26,1,Factory,Final FG (Sorting+Packing)
"Carnival Premium Brazil Nuts, 250 Gms",D: Pack-only,2,PM24-Carnival Brazil Nuts Monocarton 250 gm,pm,,1,1,Factory,Final FG (packing)
"Carnival Premium Brazil Nuts, 250 Gms",D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Carnival Premium Cocktail Mix 100g,B: Transform->Pack (in-line),1,Pista Kernel,rm,,0.01,1,Factory,Create WIP
Carnival Premium Cocktail Mix 100g,B: Transform->Pack (in-line),2,Indian Black Raisins,rm,,0.04,1,Factory,Create WIP
Carnival Premium Cocktail Mix 100g,B: Transform->Pack (in-line),3,American Almonds Running 25-27 count,rm,,0.027,1,Factory,Create WIP
Carnival Premium Cocktail Mix 100g,B: Transform->Pack (in-line),4,Cashew 320,rm,,0.023,1,Factory,Create WIP
Carnival Premium Cocktail Mix 100g,B: Transform->Pack (in-line),5,Salt,rm,,0.01,1,Factory,Create WIP
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),1,Pista Kernel,rm,,0.025,1,Factory,Create WIP
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),2,Afghan Black Raisins Seedless 1*2,rm,,0.095,1,Factory,Create WIP
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),3,American Almonds Running 25-27 count,rm,,0.0675,1,Factory,Create WIP
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),4,Cashew 320,rm,,0.0575,1,Factory,Create WIP
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),5,Refined Fine Powder Iodized Salt Prime,rm,,0.005,1,Factory,Create WIP
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),6,PM24-Carnival Cocktail Mix 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),7,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Carnival Premium Kesar 0.5 Gms,D: Pack-only,1,Saffron (Kesar) - Irani,rm,,5,10,Factory,Final FG (Sorting+Packing)
Carnival Premium Macadamia Nut 250 Gms,D: Pack-only,1,Macadamia Kernel ( Kg ),rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Premium Macadamia Nut 250 Gms,D: Pack-only,2,PM24-Carnival Roasted Salted Macadamia Monocarton 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Premium Macadamia Nut 250 Gms,D: Pack-only,3,PM24-5 Ply Carton CF24 10kg (390X290X220) (D Mart)-Unprinted,pm,,0.025,1,PM Store,Final FG (packing)
Carnival Premium Pecan Nuts 200g Mono Carton,D: Pack-only,1,Pecan Nuts,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Carnival Premium Pecan Nuts 250 Gms,D: Pack-only,1,Pecan Nuts,rm,,0.26,1,Factory,Final FG (Sorting+Packing)
Carnival Premium Pecan Nuts 250 Gms,D: Pack-only,2,PM24-Carnival Pecanuts Monocarton (Cred) 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Premium Pecan Nuts 250 Gms,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Carnival Premium Walnut Kernels 250 Gms,D: Pack-only,1,Chilean Walnut Kernel 2 pcs,rm,,0.26,1,Factory,Final FG (Sorting+Packing)
Carnival Premium Walnut Kernels 250 Gms,D: Pack-only,2,PM24-Carnival Walnuts Preimum Monocarton 250 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Premium Walnut Kernels 250 Gms,D: Pack-only,3,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Carnival Premium Walnut Kernels 250 Gms,D: Pack-only,4,Chilean Walnut Kernel 2 pcs,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Premium Walnut Kernels 250 Gms,D: Pack-only,5,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Carnival Pudina Almonds 125g,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.125,1,Factory,Create WIP
Carnival Pudina Almonds 125g,B: Transform->Pack (in-line),2,Pudina seasoning,rm,,0.002,1,Factory,Create WIP
Carnival Pudina Almonds 125g,B: Transform->Pack (in-line),3,PM24-Carnival Orange Pouch Standee Zipper Pouch-135 x 185 mm 150 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Pudina Makhana 125 Gm,B: Transform->Pack (in-line),1,Makhana,rm,,0.12,1,Factory,Create WIP
Carnival Pudina Makhana 125 Gm,B: Transform->Pack (in-line),2,Pudina seasoning,rm,,0.01,1,Factory,Create WIP
Carnival Pudina Makhana 125 Gm,B: Transform->Pack (in-line),3,"PM24-Labels,Stickers, Cards",pm,,1,1,Factory,Final FG (packing)
Carnival Pudina Makhana 125 Gm,B: Transform->Pack (in-line),4,PM24 - Makhana Pet with Handle 125 gm,pm,,1,1,Factory,Final FG (packing)
Carnival Pudina Makhana 125 Gm,B: Transform->Pack (in-line),5,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.04,1,Factory,Final FG (packing)
Carnival Raisin Black Seeded 250gm,D: Pack-only,1,Afghan Black Raisins Seeded 1*2,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Carnival Raisin Black Seeded 250gm,D: Pack-only,2,PM24-Carnival Black Raisin Seedless Indian Pouch (150mm x 230mm) 200 gm Digital,pm,,1,1,Factory,Final FG (packing)
Carnival Raisin Black Seeded 250gm,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
CARNIVAL RAISIN IDNIAN GREEN/GOLDEN ROUND 1KG,D: Pack-only,1,Afghan Raisins 1*2 Green round,rm,,1,1,Factory,Final FG (Sorting+Packing)
CARNIVAL RAISIN IDNIAN GREEN/GOLDEN ROUND 1KG,D: Pack-only,2,PM24-Carnival Green Raisins 1Kg,pm,,1,1,Factory,Final FG (packing)
CARNIVAL RAISIN IDNIAN GREEN/GOLDEN ROUND 1KG,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Carnival Raisins Black Chatpata 200g,D: Pack-only,1,Afghan Black Raisins Seedless 1*1,rm,,0.185,1,Factory,Final FG (Sorting+Packing)
Carnival Raisins Black Chatpata 200g,D: Pack-only,2,Chatpata Seasoning,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Carnival Raisins Black Chatpata 200g,D: Pack-only,3,PM24-Carnival Black Raisin Seedless Indian Pouch (150mm x 230mm) 200 gm Digital,pm,,1,1,PM Store,Final FG (packing)
Carnival Raisins Black Chatpata 200g,D: Pack-only,4,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.03,1,PM Store,Final FG (packing)
